z0,z1,phase
-3.766154,-2.269372,deploy
-3.783373,-2.253220,deploy
-3.800114,-2.237863,deploy
-3.816288,-2.223425,deploy
-3.831805,-2.210038,deploy
-3.846617,-2.197772,deploy
-3.860645,-2.186741,deploy
-3.873834,-2.177029,deploy
-3.886132,-2.168716,deploy
-3.897485,-2.161885,deploy
-3.907873,-2.156558,deploy
-3.917244,-2.152814,deploy
-3.925594,-2.150654,deploy
-3.932877,-2.150138,deploy
-3.939099,-2.151247,deploy
-3.944224,-2.154019,deploy
-3.948258,-2.158430,deploy
-3.951195,-2.164467,deploy
-3.953034,-2.172105,deploy
-3.953780,-2.181311,deploy
-3.953437,-2.192042,deploy
-3.952015,-2.204251,deploy
-3.949527,-2.217879,deploy
-3.945986,-2.232862,deploy
-3.941409,-2.249131,deploy
-3.935805,-2.266630,deploy
-3.929216,-2.285239,deploy
-3.921656,-2.304892,deploy
-3.913138,-2.325520,deploy
-3.903711,-2.346990,deploy
-3.893392,-2.369228,deploy
-3.882200,-2.392155,deploy
-3.870188,-2.415634,deploy
-3.857367,-2.439604,deploy
-3.843791,-2.463925,deploy
-3.829475,-2.488535,deploy
-3.814476,-2.513296,deploy
