threshold,fpr,tpr
5.69138098,0.00000000,0.33833333
5.69035673,0.00000000,0.33916667
5.68567419,0.00000000,0.34000000
5.68467951,0.00000000,0.34083333
5.68299532,0.00000000,0.34166667
5.68267584,0.00000000,0.34250000
5.68199635,0.00000000,0.34333333
5.67709303,0.00000000,0.34416667
5.65898466,0.00000000,0.34500000
5.65854692,0.00000000,0.34583333
5.65111685,0.00000000,0.34666667
5.64530849,0.00000000,0.34750000
5.64239168,0.00000000,0.34833333
5.63310766,0.00000000,0.34916667
5.63292837,0.00000000,0.35000000
5.62512636,0.00000000,0.35083333
5.62029171,0.00000000,0.35166667
5.62028074,0.00000000,0.35250000
5.61529398,0.00000000,0.35333333
5.61180973,0.00000000,0.35416667
5.57916546,0.00000000,0.35500000
5.57549524,0.00000000,0.35583333
5.57433176,0.00000000,0.35666667
5.56911230,0.00000000,0.35750000
5.56748199,0.00000000,0.35833333
5.56486845,0.00000000,0.35916667
5.56333828,0.00000000,0.36000000
5.55948591,0.00000000,0.36083333
5.55916166,0.00000000,0.36166667
5.55399179,0.00000000,0.36250000
5.54912996,0.00000000,0.36333333
5.54529333,0.00000000,0.36416667
5.53877687,0.00000000,0.36500000
5.51857996,0.00000000,0.36583333
5.51539135,0.00000000,0.36666667
5.51064920,0.00000000,0.36750000
5.50699282,0.00000000,0.36833333
5.50415325,0.00000000,0.36916667
5.50404453,0.00000000,0.37000000
5.47229910,0.00000000,0.37083333
5.46534967,0.00000000,0.37166667
5.46414804,0.00000000,0.37250000
5.46266174,0.00000000,0.37333333
5.45970631,0.00000000,0.37416667
5.45306873,0.00000000,0.37500000
5.44853830,0.00000000,0.37583333
5.44843578,0.00000000,0.37666667
5.44600391,0.00000000,0.37750000
5.44539881,0.00000000,0.37833333
5.44192600,0.00000000,0.37916667
5.42911005,0.00000000,0.38000000
5.42077208,0.00000000,0.38083333
5.41484594,0.00000000,0.38166667
5.41171885,0.00000000,0.38250000
5.41076994,0.00000000,0.38333333
5.41047955,0.00000000,0.38416667
5.39934206,0.00000000,0.38500000
5.39687014,0.00000000,0.38583333
5.38374853,0.00000000,0.38666667
5.37543344,0.00000000,0.38750000
5.37117386,0.00000000,0.38833333
5.36802340,0.00000000,0.38916667
5.36263657,0.00000000,0.39000000
5.36129999,0.00000000,0.39083333
5.34934950,0.00000000,0.39166667
5.34317112,0.00000000,0.39250000
5.34294653,0.00000000,0.39333333
5.33387613,0.00000000,0.39416667
5.32812500,0.00000000,0.39500000
5.32792997,0.00000000,0.39583333
5.32204676,0.00000000,0.39666667
5.31594515,0.00000000,0.39750000
5.31480312,0.00000000,0.39833333
5.31445551,0.00000000,0.39916667
5.31006718,0.00000000,0.40000000
5.30337667,0.00000000,0.40083333
5.30215073,0.00000000,0.40166667
5.29968882,0.00000000,0.40250000
5.29852533,0.00000000,0.40333333
5.29197216,0.00000000,0.40416667
5.28869867,0.00000000,0.40500000
5.28592682,0.00000000,0.40583333
5.27912426,0.00000000,0.40666667
5.27043200,0.00000000,0.40750000
5.26765537,0.00000000,0.40833333
5.25485897,0.00000000,0.40916667
5.25460291,0.00000000,0.41000000
5.25387239,0.00000000,0.41083333
5.24668407,0.00000000,0.41166667
5.23962259,0.00000000,0.41250000
5.23360300,0.00000000,0.41333333
5.23005772,0.00000000,0.41416667
5.23002005,0.00000000,0.41500000
5.22685528,0.00000000,0.41583333
5.22592783,0.00000000,0.41666667
5.21479750,0.00000000,0.41750000
5.20807552,0.00000000,0.41833333
5.19510984,0.00000000,0.41916667
5.18441629,0.00000000,0.42000000
5.17598724,0.00000000,0.42083333
5.16793299,0.00000000,0.42166667
5.16393757,0.00000000,0.42250000
5.16331339,0.00000000,0.42333333
5.16122437,0.00000000,0.42416667
5.15594387,0.00000000,0.42500000
5.15503073,0.00000000,0.42583333
5.15355396,0.00000000,0.42666667
5.15219069,0.00000000,0.42750000
5.14613867,0.00000000,0.42833333
5.13853216,0.00000000,0.42916667
5.13233614,0.00000000,0.43000000
5.12720919,0.00000000,0.43083333
5.11883450,0.00000000,0.43166667
5.11849499,0.00000000,0.43250000
5.11725712,0.00000000,0.43333333
5.11319685,0.00000000,0.43416667
5.10572481,0.00000000,0.43500000
5.10545778,0.00000000,0.43583333
5.09480906,0.00000000,0.43666667
5.09465075,0.00000000,0.43750000
5.08633280,0.00000000,0.43833333
